Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
01/18/2023,16069,3,Nez Perce County,ID,97.7,28100,69.5,28081,73.8,27427,79.1,26220,82.5,9907,95,24241,60,24234,63.7,1604,25.5,23674,68.3,22630,71.2,8719,95,9910,40.9,9910,40.9,9874,41.7,9756,43.1,7729,53.2,5248,60.2,3303,42.7,2438,46.5,C,10,10,9,11,11,12,Metro,2,2,1,3,3,4,11,11,11,10,3,3,3,2,40408,38072,6296,34679,31776,8168,4650,12.2,4622,13.3,4571,14.4,2962,36.3
01/18/2023,38071,3,Ramsey County,ND,92.7,7654,66.4,7605,71,7428,77.1,7079,80.1,2388,95,6936,60.2,6921,64.6,490,26.2,6768,70.2,6431,72.8,2130,91.1,3620,52.2,3620,52.3,3580,52.9,3472,54,2604,66.9,1637,76.9,1255,48.2,917,56,B,6,6,5,7,7,8,Non-metro,6,6,5,7,7,8,8,8,8,7,8,8,8,7,11519,10708,1869,9638,8839,2338,1596,14.9,1578,16.4,1530,17.3,966,41.3
01/18/2023,21145,3,McCracken County,KY,94.1,43462,66.4,43384,70.5,42316,75.8,40092,78.8,12707,95,37824,57.8,37790,61.4,2661,25.1,36915,66.1,35129,69,11509,86.5,17868,47.2,17868,47.3,17773,48.1,17462,49.7,12927,61.6,8123,70.6,6087,47.1,4405,54.2,C,10,10,9,11,11,12,Non-metro,6,6,5,7,7,8,11,11,11,11,7,7,7,7,65418,61517,10615,55827,50902,13308,7033,11.4,6964,12.5,6876,13.5,4103,30.8
01/18/2023,48275,3,Knox County,TX,98.9,1621,44.2,1621,47.5,1611,53.6,1556,57.4,581,78.9,1450,39.6,1450,42.5,52,7.4,1442,48,1398,51.6,548,74.5,518,35.7,518,35.7,516,35.8,514,36.8,450,45.9,298,54.4,119,26.4,86,28.9,C,9,9,9,9,10,11,Non-metro,5,5,5,5,6,7,10,10,10,10,6,6,6,6,3664,3415,706,3004,2709,736,124,3.6,122,4.1,119,4.4,85,11.5
01/18/2023,20025,3,Clark County,KS,93.9,1026,51.5,1020,54.6,996,59.3,941,62.7,362,84.6,955,47.9,950,50.9,72,19.7,929,55.3,878,58.5,341,79.7,507,53.1,507,53.4,501,53.9,491,55.9,363,63.2,242,71,164,45.2,125,51.7,A,1,2,1,2,2,3,Non-metro,5,6,5,6,6,7,4,4,4,3,8,8,8,7,1994,1867,366,1681,1501,428,157,8.4,156,9.3,156,10.4,99,23.1
01/18/2023,47095,3,Lake County,TN,97.8,2870,40.9,2867,42.6,2845,44.7,2761,45.9,893,76,2541,36.2,2541,37.8,91,12.7,2523,39.7,2450,40.8,831,70.7,898,35.3,898,35.3,898,35.6,890,36.3,730,46,457,55,277,37.9,203,44.4,D,13,13,13,13,13,15,Non-metro,5,5,5,5,5,7,14,14,14,14,6,6,6,6,7016,6727,717,6358,6010,1175,214,3.2,214,3.4,212,3.5,141,12
01/18/2023,26023,3,Branch County,MI,94.2,21093,48.5,,,,,,,,,20242,46.5,20230,49.5,1158,15.7,19987,54,19072,56.9,6751,83,10749,53.1,10749,53.1,10699,53.5,10503,55.1,8150,65.5,5001,74.1,3679,45.1,2606,52.1,C,9,9,9,10,10,12,Non-metro,5,5,5,6,6,8,12,12,12,11,8,8,8,7,43517,40880,7359,37045,33521,8129,3310,8.1,3282,8.9,3228,9.6,1984,24.4
01/18/2023,27027,3,Clay County,MN,94.7,53755,83.7,52973,88.8,49562,93.1,45405,94,11099,95,42245,65.8,41999,70.4,5494,48.3,39674,74.5,36505,75.6,9333,95,18722,44.3,18722,44.6,18185,45.8,17173,47,10435,57.7,6029,64.6,5856,56.1,4017,66.6,B,7,7,7,7,7,8,Metro,3,3,3,3,3,4,7,7,7,6,3,3,3,2,64222,59657,11367,53252,48290,8588,12882,21.6,12411,23.3,11738,24.3,5244,61.1
01/18/2023,26163,3,Wayne County,MI,94.2,1027515,58.7,,,,,,,,,971393,55.5,970117,59.3,84491,28.4,947114,64.2,885626,66.2,230808,83.5,521016,53.6,520986,53.7,514890,54.4,496003,56,328857,67.3,175389,76,108095,32.9,68532,39.1,D,14,14,13,14,15,16,Metro,2,2,1,2,3,4,16,16,16,15,4,4,4,3,1749343,1634690,297641,1475567,1337049,276530,113278,6.9,110540,7.5,106555,8,48085,17.4
01/18/2023,05055,3,Greene County,AR,92.1,23755,52.4,23707,56,23131,60.7,21498,62.7,5894,80,20545,45.3,20528,48.5,1761,21.9,20106,52.7,18767,54.7,5438,73.8,8935,43.5,8935,43.5,8905,44.3,8688,46.3,6426,60.8,3886,71.5,2591,40.3,1854,47.7,C,9,9,9,10,10,11,Non-metro,5,5,5,6,6,7,11,11,11,11,7,7,7,7,45325,42336,8028,38118,34308,7372,2467,5.8,2466,6.5,2436,7.1,1391,18.9
01/18/2023,35049,3,Santa Fe County,NM,97,164165,95,163105,95,156826,95,147390,95,50509,95,130728,86.9,130302,90.4,12580,62.3,125395,93.6,117722,95,41310,95,79547,60.8,79514,61,78111,62.3,74772,63.5,51404,71.3,30918,74.8,34027,66.2,22669,73.3,D,16,16,16,16,16,16,Metro,4,4,4,4,4,4,16,16,16,15,4,4,4,3,150358,144157,20193,133904,123964,38106,49455,34.3,48710,36.4,47364,38.2,25253,66.3
01/18/2023,48233,3,Hutchinson County,TX,98.9,8648,41.3,8638,44.2,8532,48.9,8207,52.5,2663,74.4,7476,35.7,7475,38.2,347,8.8,7401,42.4,7128,45.6,2416,67.5,2892,38.7,2892,38.7,2888,39,2855,40.1,2342,52.1,1466,60.7,921,39.3,670,45.7,B,5,5,5,5,5,7,Non-metro,5,5,5,5,5,7,6,6,7,6,6,6,7,6,20938,19562,3931,17465,15631,3581,991,5.1,989,5.7,980,6.3,626,17.5
01/18/2023,28137,3,Tate County,MS,98.1,14981,52.9,14936,56.1,14554,60,13653,62.3,4153,85.4,13152,46.4,13145,49.4,1105,23.4,12814,52.8,12040,55,3770,77.5,4991,37.9,4991,38,4963,38.7,4841,40.2,3848,51.7,2373,62.9,1238,32.2,891,37.5,C,9,9,9,10,10,11,Metro,1,1,1,2,2,3,10,10,11,10,2,2,3,2,28321,26636,4727,24263,21909,4863,1075,4,1075,4.4,1064,4.9,661,13.6
01/18/2023,51145,3,Powhatan County,VA,78.2,12950,43.7,12944,45.7,12921,49.3,12193,50.2,4152,73.7,11488,38.7,11485,40.6,597,14.8,11473,43.7,10888,44.8,3838,68.1,157,1.4,157,1.4,156,1.4,148,1.4,113,1.6,61,1.6,72,63.7,46,75.4,A,1,1,1,1,1,3,Metro,1,1,1,1,1,3,1,1,1,1,1,1,1,1,29652,28319,4039,26228,24280,5632,97,0.3,97,0.4,97,0.4,54,1
01/18/2023,24001,3,Allegany County,MD,98.2,45410,64.5,45279,67.4,44254,70.8,42348,72.7,13725,94.8,40475,57.5,40419,60.1,2601,29,39530,63.3,37818,64.9,12381,85.6,21857,54,21854,54.1,21707,54.9,21222,56.1,14872,66.5,9083,73.4,6964,46.8,4917,54.1,C,10,10,9,10,10,12,Metro,2,2,1,2,2,4,12,12,12,11,4,4,4,3,70416,67223,8962,62497,58261,14471,7343,10.9,7281,11.7,7148,12.3,3994,27.6
01/18/2023,34031,3,Passaic County,NJ,94.1,440562,87.8,439242,93.8,421573,95,388615,95,79548,95,365909,72.9,365316,78,42154,49.4,351331,83.2,323162,84.4,66946,89,167126,45.7,167110,45.7,165517,47.1,159005,49.2,95743,61.8,47844,71.5,36671,38.3,22910,47.9,D,15,15,15,16,16,16,Metro,3,3,3,4,4,4,15,15,15,15,3,3,3,3,501826,468202,85394,422206,382808,75180,48083,10.3,47383,11.2,46058,12,21005,27.9
01/18/2023,35055,3,Taos County,NM,97,34391,95,34203,95,32885,95,30855,95,11313,95,28487,87.1,28404,90.7,2813,65.8,27330,93.8,25591,94.6,9540,95,16983,59.6,16979,59.8,16698,61.1,15923,62.2,11413,68.8,6797,71.2,6738,59,4525,66.6,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,16,16,16,15,8,8,8,7,32723,31311,4272,29144,27039,9014,8863,28.3,8742,30,8523,31.5,4810,53.4
01/18/2023,48003,3,Andrews County,TX,98.9,9547,51,9527,55.6,9202,62.2,8474,65.7,1713,93.5,8451,45.2,8448,49.3,894,21.2,8196,55.4,7554,58.5,1588,86.6,3125,37,3125,37,3112,38,3021,40,2054,54.8,1060,66.8,655,31.9,405,38.2,C,9,9,9,10,10,12,Non-metro,5,5,5,6,6,8,10,10,11,11,6,6,7,7,18705,17125,4223,14795,12902,1833,520,3,514,3.5,496,3.8,241,13.1
01/18/2023,19095,3,Iowa County,IA,97.3,11085,68.5,11024,72.4,10605,77.4,9972,80.3,3168,95,10412,64.3,10382,68.2,961,34.3,10009,73,9421,75.9,3057,95,6052,58.1,6051,58.3,5956,59.5,5763,61.2,4205,71.6,2394,78.3,2538,60.4,1731,72.3,A,2,3,2,3,3,4,Non-metro,6,7,6,7,7,8,4,4,4,3,8,8,8,7,16184,15217,2804,13708,12413,3126,2987,19.6,2943,21.5,2878,23.2,1684,53.9
01/18/2023,29137,3,Monroe County,MO,91.3,4565,52.8,4561,55.7,4503,60.6,4378,64.6,1778,85.8,3974,46,3970,48.5,160,11.4,3919,52.8,3810,56.2,1632,78.7,1866,47,1865,47,1862,47.5,1851,48.6,1578,58.1,1089,66.7,811,51.4,673,61.8,B,5,5,5,6,6,7,Non-metro,5,5,5,6,6,7,7,7,7,7,7,7,7,7,8644,8183,1403,7426,6780,2073,635,7.8,632,8.5,632,9.3,464,22.4
01/18/2023,45037,3,Edgefield County,SC,93,20766,76.2,20728,79.1,20325,83.5,19393,86.5,5886,95,17173,63,17159,65.5,1142,30.2,16834,69.2,16017,71.4,4787,90.3,6779,39.5,6779,39.5,6732,40,6591,41.2,5013,52.8,2931,61.2,1730,34.5,1170,39.9,D,14,15,14,15,15,16,Metro,2,3,2,3,3,4,14,15,15,14,2,3,3,2,27260,26204,3785,24344,22419,5302,2149,8.2,2130,8.7,2087,9.3,1284,24.2
01/18/2023,40003,3,Alfalfa County,OK,93.8,3019,52.9,3017,55.5,2993,60.5,2932,63.8,981,84.9,2668,46.8,2668,49.1,54,6.5,2654,53.7,2614,56.9,881,76.3,1355,50.8,1355,50.8,1353,51,1351,51.7,1023,64.1,636,72.2,447,43.7,273,42.9,B,5,5,5,6,6,7,Non-metro,5,5,5,6,6,7,8,8,8,7,8,8,8,7,5702,5432,835,4945,4597,1155,472,8.7,470,9.5,467,10.2,248,21.5
01/18/2023,13305,3,Wayne County,GA,88.9,14658,49,14649,52.3,14481,57.5,13898,61.3,4171,87.2,12957,43.3,12953,46.2,591,11,12816,50.9,12362,54.5,3880,81.1,4916,37.9,4916,38,4897,38.2,4830,39.1,3655,50.1,2251,58,1265,34.6,936,41.6,D,13,13,13,14,14,16,Non-metro,5,5,5,6,6,8,14,14,14,14,6,6,6,6,29927,28031,5366,25175,22665,4783,1371,4.9,1365,5.4,1359,6,859,18
01/18/2023,48085,3,Collin County,TX,98.9,824568,79.7,820303,84.4,775131,89.4,701185,91.1,122080,95,717448,69.3,716276,73.7,101630,50.2,679514,78.3,614646,79.9,108279,92.9,312642,43.6,312622,43.6,306311,45.1,292857,47.6,163267,60.8,76017,70.2,84900,52,46080,60.6,B,7,7,8,7,7,8,Metro,3,3,4,3,3,4,7,7,7,7,3,3,3,3,1034730,971953,202492,867311,769461,116575,130128,13.4,126876,14.6,121037,15.7,43875,37.6
01/18/2023,29141,3,Morgan County,MO,91.3,8950,43.4,8944,46.5,8879,50.9,8623,54.4,4003,82.8,7902,38.3,7900,41,258,7.6,7848,45,7642,48.2,3707,76.6,3468,43.9,3468,43.9,3463,44.1,3429,44.9,3005,51.1,2064,55.7,1555,51.7,1227,59.4,D,13,13,13,13,13,15,Non-metro,5,5,5,5,5,7,15,15,15,14,7,7,7,6,20627,19248,3397,17444,15851,4837,1850,9.6,1848,10.6,1840,11.6,1348,27.9
01/18/2023,48117,3,Deaf Smith County,TX,98.9,9385,50.6,9373,55.4,9109,61.9,8384,65.4,2084,86,8144,43.9,8139,48.1,808,19.7,7949,54,7331,57.2,1883,77.7,2959,36.3,2959,36.4,2951,37.1,2883,39.3,2095,53.2,1176,62.5,759,36.2,540,45.9,D,13,13,13,14,14,15,Non-metro,5,5,5,6,6,7,14,14,14,14,6,6,6,6,18546,16931,4105,14710,12826,2423,864,5.1,860,5.8,850,6.6,486,20.1
01/18/2023,30083,3,Richland County,MT,95.9,4767,44.1,4761,47.1,4685,52.2,4497,55.5,1442,86.9,4433,41,4429,43.8,237,11.8,4360,48.6,4192,51.7,1385,83.4,2069,46.7,2068,46.7,2055,47.1,2020,48.2,1529,58.8,926,66.9,735,48.1,512,55.3,A,1,1,1,1,2,4,Non-metro,5,5,5,5,6,8,3,3,3,3,7,7,7,7,10803,10110,2003,8978,8107,1660,752,7.4,744,8.3,734,9.1,450,27.1
01/18/2023,48361,3,Orange County,TX,98.9,35826,43,35797,46,35326,50.7,33794,53.9,10722,78.1,30797,36.9,30792,39.6,1647,10.9,30453,43.7,29145,46.5,9665,70.4,11442,37.2,11442,37.2,11420,37.5,11308,38.8,9221,50.1,5799,60,3497,37.9,2561,44.2,C,9,9,9,9,9,11,Metro,1,1,1,1,1,3,10,10,10,10,2,2,2,2,83396,77850,15106,69646,62744,13729,3345,4.3,3338,4.8,3316,5.3,2164,15.8
01/18/2023,37085,3,Harnett County,NC,96.8,82670,60.8,82283,65.3,79252,70.7,73356,72.6,19363,95,61414,45.2,61293,48.6,6478,25.8,59273,52.9,54815,54.3,15016,86,16651,27.1,16647,27.2,16440,27.7,15798,28.8,11251,37.5,6569,43.7,3745,33.3,2470,37.6,D,13,13,13,14,14,16,Non-metro,5,5,5,6,6,8,13,13,13,13,5,5,5,5,135976,126086,25096,112079,100990,17458,8582,6.8,8422,7.5,8155,8.1,3965,22.7
01/18/2023,44009,3,Washington County,RI,88,117544,93.6,116654,95,111849,95,104843,95,32715,95,104442,83.2,103837,85.8,10632,67.7,99608,87.8,93205,88.5,29542,95,67971,65.1,67948,65.4,66836,67.1,64072,68.7,43872,77,24779,83.9,27336,62.3,17897,72.2,A,4,4,4,4,4,4,Metro,4,4,4,4,4,4,4,4,4,4,4,4,4,4,125577,120995,15709,113395,105286,26959,36600,30.2,35918,31.7,34947,33.2,18269,67.8
01/18/2023,20015,3,Butler County,KS,93.9,38433,57.4,38276,60.9,36906,65.7,34148,68.4,9333,88.9,34142,51,34055,54.2,3599,27.8,32902,58.6,30456,61,8457,80.5,16154,47.3,16153,47.4,15898,48.3,15268,50.1,10550,62.8,6117,72.3,5455,51.7,3698,60.5,B,6,6,5,6,6,8,Metro,2,2,1,2,2,4,7,7,8,7,3,3,4,3,66911,62871,12939,56171,49932,10502,6960,11.1,6810,12.1,6627,13.3,3552,33.8
01/18/2023,20125,3,Montgomery County,KS,93.9,17339,54.5,17320,57.8,16950,62.9,15949,65.7,5608,86.8,15165,47.6,15158,50.6,1169,20.6,14866,55.2,13989,57.7,5124,79.3,7115,46.9,7115,46.9,7072,47.6,6908,49.4,5351,60.8,3514,68.6,2486,46.5,1835,52.2,D,13,14,13,14,14,15,Non-metro,5,6,5,6,6,7,15,15,15,15,7,7,7,7,31829,29941,5680,26955,24261,6463,2861,9.6,2843,10.5,2793,11.5,1683,26
01/18/2023,36027,3,Dutchess County,NY,97.5,243561,82.8,242111,86.3,233394,89.7,217529,90.9,57496,95,215318,73.2,214501,76.4,21994,53.2,206725,79.5,192507,80.4,50865,95,119815,55.6,119807,55.9,117998,57.1,112722,58.6,72516,68.2,37901,74.5,36972,51,22854,60.3,B,7,7,8,7,8,8,Metro,3,3,4,3,4,4,8,8,8,7,4,4,4,3,294218,280657,41329,260074,239328,53399,51454,18.3,50660,19.5,49162,20.5,23406,43.8
01/18/2023,30111,3,Yellowstone County,MT,95.9,97345,60.4,96724,63.9,93496,68.5,87706,70.9,27191,95,86312,53.5,86029,56.8,7452,26.9,83606,61.3,78577,63.5,25142,89.5,43825,50.8,43825,50.9,43346,51.8,41972,53.4,30000,66.1,18611,74,16438,54.8,11797,63.4,B,6,6,5,6,6,8,Metro,2,2,1,2,2,4,8,8,8,7,4,4,4,3,161300,151453,27731,136442,123722,28085,20282,13.4,20038,14.7,19621,15.9,11681,41.6
01/18/2023,20081,3,Haskell County,KS,93.9,1813,45.7,1810,48.8,1767,54.2,1642,57.4,474,76.5,1612,40.6,1612,43.5,136,16,1583,48.6,1476,51.6,455,73.4,730,45.3,730,45.3,727,45.9,716,48.5,518,62,308,67.7,213,41.1,147,47.7,B,5,5,5,5,6,7,Non-metro,5,5,5,5,6,7,7,7,7,7,7,7,7,7,3968,3707,848,3259,2859,620,251,6.8,250,7.7,247,8.6,146,23.5
01/18/2023,40073,3,Kingfisher County,OK,93.8,8926,56.6,8905,60.4,8732,67.2,8236,71.3,2427,94.1,7788,49.4,7781,52.7,566,17.7,7643,58.8,7215,62.5,2199,85.3,3296,42.3,3296,42.4,3279,42.9,3203,44.4,2428,56.8,1485,67.5,993,40.9,724,48.8,B,5,6,5,6,6,8,Non-metro,5,6,5,6,6,8,7,7,7,7,7,7,7,7,15765,14753,3202,12997,11551,2579,1213,8.2,1200,9.2,1173,10.2,719,27.9
01/18/2023,05097,3,Montgomery County,AR,92.1,4126,45.9,4123,48.4,4082,51.5,3933,53.7,1765,72.8,3453,38.4,3452,40.5,126,10.5,3426,43.2,3326,45.4,1521,62.7,1691,49,1691,49,1685,49.2,1671,50.2,1474,59.9,1063,69.9,696,47.2,534,50.2,C,9,9,9,9,9,10,Non-metro,5,5,5,5,5,6,11,11,12,11,7,7,8,7,8986,8521,1198,7929,7323,2426,731,8.6,728,9.2,728,9.9,555,22.9
